[12:50:57:042] [WARN] - org.apache.dubbo.common.config.ConfigurationUtils.parseProperties(ConfigurationUtils.java:76) -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:57:767] [WARN] - org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:558) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'springContextReger' defined in URL [jar:file:/C:/Users/11522/.m2/repository/com/wrics/lud-util-spring/1.0-SNAPSHOT/lud-util-spring-1.0-SNAPSHOT.jar!/com/lud/util/spring/util/SpringContextReger.class]: Initialization of bean failed; nested exception is org.apache.dubbo.rpc.RpcException: No provider available from registry 127.0.0.1:3579 for service com.lud.service.core.api.data.query.DataQueryService on consumer 192.168.0.186 use dubbo version 2.7.3, please check status of providers(disabled, not registered or in blacklist).
[12:50:58:041] [WARN] - org.apache.dubbo.common.config.ConfigurationUtils.parseProperties(ConfigurationUtils.java:76) -  [DUBBO] You specified the config centre, but there's not even one single config item in it., dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:196] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.config.ResourceService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:300] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.redis.RedisService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:353] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.data.query.DataQueryService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:475] [WARN] - org.apache.dubbo.rpc.model.ApplicationModel.initConsumerModel(ApplicationModel.java:68) -  [DUBBO] Already register the same consumer:com.lud.service.core.api.data.command.DataCommandService, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:487] [WARN] - org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:558) - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'springContextReger' defined in URL [jar:file:/C:/Users/11522/.m2/repository/com/wrics/lud-util-spring/1.0-SNAPSHOT/lud-util-spring-1.0-SNAPSHOT.jar!/com/lud/util/spring/util/SpringContextReger.class]: Initialization of bean failed; nested exception is org.apache.dubbo.rpc.RpcException: No provider available from registry 127.0.0.1:3579 for service com.lud.service.core.api.data.query.DataQueryService on consumer 192.168.0.186 use dubbo version 2.7.3, please check status of providers(disabled, not registered or in blacklist).
[12:50:58:664] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:665] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:666] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
[12:50:58:667] [WARN] - org.apache.dubbo.config.ReferenceConfig$1.finalize(ReferenceConfig.java:182) -  [DUBBO] ReferenceConfig(null) is not DESTROYED when FINALIZE, dubbo version: 2.7.3, current host: 192.168.0.186
